Standard Name,Scientific Name,Authority,CAAB Code,Family or Group,Date Added,Imported Only
Blue Morwong,Nemadactylus valenciennesi,"(Whitley, 1937)",37 377004,Cheilodactylidae (Morwongs),01/01/2002,
Blue Sprat,Spratelloides robustus,"Ogilby, 1897",37 085003,Clupeidae (Herrings),01/01/2002,
Blue Threadfin,Eleutheronema tetradactylum,"(Shaw, 1804)",37 383004,Polynemidae (Threadfin Salmons),01/01/2002,
Blue Warehou,Seriolella brama,"(Günther, 1860)",37 445005,Centrolophidae (Trevallas),01/01/2002,
Blue Weed-whiting,Haletta semifasciata,"(Valenciennes, 1840)",37 385009,Odacidae (Rock Whitings),08/03/2005,
Blue-Eye Trevalla,Hyperoglyphe antarctica & Schedophilus labyrinthica,,37 445902,Centrolophidae (Trevallas),01/01/2002,
Bluefin Trevally,Caranx melampygus,"Cuvier, 1833",37 337050,Carangidae (Trevallies),01/01/2002,
Bluespotted Emperor,"Lethrinus sp. [Carpenter, pers comm]",,37 351001,Lethrinidae (Emperors),08/03/2005,
Bluespotted Flathead,Platycephalus caeruleopunctatus,"McCulloch, 1922",37 296007,Platycephalidae (Flatheads),01/01/2002,
Bluespotted Goatfish,Upeneichthys vlamingii,"(Cuvier, 1829)",37 355029,Mullidae (Goatfishes),31/05/2006,
Bluespotted Trevally,Caranx bucculentus,"Alleyne & Macleay, 1877",37 337016,Carangidae (Trevallies),01/01/2002,
Bluethroat Wrasse,Notolabrus tetricus,"(Richardson, 1840)",37 384003,Labridae (Wrasses),31/05/2006,
Bombay Duck,Harpadon spp.,,37 119900,Harpadontidae (Bombay Ducks),29/04/2002,
Bonito,Sarda spp.,,37 441910,Scombridae (Mackerels),01/01/2002,
Bony Bream,Nematalosa erebi & Nematalosa vlaminghi,,37 085902,Clupeidae (Herrings),01/01/2002,
Butterfish,Scatophagus spp.,,37 363900,Scatophagidae (Scats),01/01/2002,
Butterfly Gurnard,Lepidotrigla spp.,,37 288901,Triglidae (Searobins),01/01/2002,
Catfish,Arius spp.,,37 188901,Ariidae (Forktail Catfishes),01/01/2002,
Chub Mackerel,Scomber japonicus,"Houttuyn, 1782",37 441791,Scombridae (Mackerels),07/10/2002,I
Climbing Perch,Anabas spp.,,37 450750,Anabantidae (Climbing Perches),29/04/2002,I
Cobia,Rachycentron canadum,"(Linnaeus, 1766)",37 335001,Rachycentridae (Black Kingfishes),08/03/2005,
Coley,Pollachius virens,"(Linnaeus, 1758)",37 226796,Gadidae (Cods),07/10/2002,I
Collar Seabream,Gymnocranius audleyi,"Ogilby, 1916",37 351018,Lethrinidae (Emperors),31/05/2006,
Conger Eel,Conger verreauxi & Conger wilsoni,,37 067900,Congridae (Conger Eels),01/01/2002,
Coral Cod,Cephalopholis spp.,,37 311904,Serranidae (Rockcods),01/01/2002,
Coral Perch,Scorpaenidae - undifferentiated,,37 287900,Scorpaenidae (Scorpionfishes),01/01/2002,
Coral Trout,Plectropomus spp. & Variola spp.,,37 311905,Serranidae (Rockcods),01/01/2002,
Crimson Snapper,Lutjanus erythropterus,"Bloch, 1790",37 346005,Lutjanidae (Tropical Snappers),07/10/2002,
Crimsonband Wrasse,Notolabrus gymnogenis,"(Günther, 1862)",37 384041,Labridae (Wrasses),31/05/2006,
Dart,Trachinotus spp.,,37 337904,Carangidae (Trevallies),01/01/2002,
Darwin's Roughy,Gephyroberyx darwinii,"(Johnson, 1866)",37 255004,Trachichthyidae (Roughies),01/01/2002,
Deepsea Cardinalfish,Epigonus spp.,,37 327900,Epigonidae (Deepsea Cardinalfishes),08/03/2005,
Deepsea Ocean Perch,Trachyscorpia spp.,,37 287902,Sebastidae (Ocean Perches),Provisional name,
Deepwater Flathead,Platycephalus conatus,"Waite & McCulloch, 1915",37 296002,Platycephalidae (Flatheads),01/01/2002,
Diamond Trevally,Alectis spp.,,37 337909,Carangidae (Trevallies),01/01/2002,
Diamondfish,Monodactylus argenteus,"(Linnaeus, 1758)",37 356002,Monodactylidae (Silver Batfishes),31/05/2006,
Diamondscale Mullet,Liza vaigiensis,"(Quoy & Gaimard, 1825)",37 381008,Mugilidae (Mullets),01/01/2002,
Dover Sole,Solea solea,"(Linnaeus, 1758)",37 462790,Soleidae (Soles),07/10/2002,I
Dusky Flathead,Platycephalus fuscus,"Cuvier, 1829",37 296004,Platycephalidae (Flatheads),01/01/2002,
Duskytail Grouper,Epinephelus bleekeri,"(Vaillant, 1878)",37 311041,Serranidae (Rockcods),31/05/2006,
Eastern Pigfish,Bodianus unimaculatus,"(Günther, 1862)",37 384061,Labridae (Wrasses),31/05/2006,
Eastern School Whiting,Sillago flindersi,"McKay, 1985",37 330014,Sillaginidae (Whitings),31/05/2006,
Eastern Sea Garfish,Hyporhamphus australis,"(Steindachner, 1866)",37 234014,Hemiramphidae (Garfishes),01/01/2002,
Eel,Anguilliformes & Synbranchiformes,,37 990019,Fishes (multi-family groups),29/04/2002,
Emperor,Lethrinus spp.,,37 351902,Lethrinidae (Emperors),01/01/2002,
Escolar,Lepidocybium flavobrunneum,"(Smith, 1849)",37 439008,Gempylidae (Gemfishes),07/10/2002,
Estuary Cobbler,Cnidoglanis macrocephalus,"(Valenciennes, 1840)",37 192001,Plotosidae (Eeltail Catfishes),08/03/2005,
European Carp,Cyprinus carpio,"Linnaeus, 1758",37 165003,Cyprinidae (Carps),01/01/2002,
Flame Snapper,Etelis coruscans,"Valenciennes, 1862",37 346038,Lutjanidae (Tropical Snappers),08/03/2005,
Flathead,Platycephalidae - undifferentiated,,37 296000,Platycephalidae (Flatheads),01/01/2002,
Flounder,Bothidae & Pleuronectidae spp.,,37 990014,Fishes (multi-family groups),01/01/2002,
Flutemouth,Fistularia spp.,,37 278900,Fistulariidae (Flutemouths),Provisional name,
Flyingfish,Exocoetidae - undifferentiated,,37 233000,Exocoetidae (Flyingfishes),29/04/2002,
Fortescue,Centropogon spp.,,37 287903,Tetrarogidae (Fortescues),Provisional name,
Freshwater Catfish,Tandanus tandanus,"(Mitchell, 1838)",37 192006,Plotosidae (Eeltail Catfishes),01/01/2002,
Frigate Mackerel,Auxis thazard,"(Lacépède, 1800)",37 441009,Scombridae (Mackerels),01/01/2002,
Frypan Bream,Argyrops spinifer,"(Forsskål, 1775)",37 353006,Sparidae (Breams),01/01/2002,
Garfish,Hemiramphidae - undifferentiated,,37 234000,Hemiramphidae (Garfishes),01/01/2002,
Gemfish,Rexea solandri,"(Cuvier, 1832)",37 439002,Gempylidae (Gemfishes),01/01/2002,
Giant Boarfish,Paristiopterus gallipavo & Paristiopterus labiosus,,37 367901,Pentacerotidae (Boarfishes),01/01/2002,
Giant Trevally,Caranx ignobilis,"(Forsskål, 1775)",37 337027,Carangidae (Trevallies),01/01/2002,
Goldband Snapper,Pristipomoides multidens & Pristipomoides typus,,37 346901,Lutjanidae (Tropical Snappers),07/10/2002,
Golden Goby,Glossogobius spp.,,37 428900,Gobiidae (Gobies),29/04/2002,
Golden Perch,Macquaria ambigua,"(Richardson, 1845)",37 311075,Percichthyidae (Temperate Basses),01/01/2002,
Golden Snapper,Lutjanus johnii,"(Bloch, 1792)",37 346030,Lutjanidae (Tropical Snappers),07/10/2002,
Golden Trevally,Gnathanodon speciosus,"(Forsskål, 1775)",37 337012,Carangidae (Trevallies),01/01/2002,
Goldfish,Carassius auratus,"(Linnaeus, 1758)",37 165001,Cyprinidae (Carps),01/01/2002,
Goldspotted Rockcod,Epinephelus coioides,"(Hamilton, 1822)",37 311007,Serranidae (Rockcods),08/03/2005,
Gourami,Helostomatidae & Osphronemidae spp.,,37 990750,Fishes (multi-family groups),29/04/2002,I
Grass Emperor,Lethrinus laticaudis,"Alleyne & Macleay, 1877",37 351006,Lethrinidae (Emperors),01/01/2002,
Green Jobfish,Aprion virescens,"Valenciennes, 1830",37 346027,Lutjanidae (Tropical Snappers),07/10/2002,
Greenback Flounder,Rhombosolea tapirina,"Günther, 1862",37 461003,Pleuronectidae (Righteye Flounders),01/01/2002,
Greenland Turbot,Reinhardtius hippoglossoides,"(Walbaum, 1792)",37 461793,Pleuronectidae (Righteye Flounders),07/10/2002,I
Grey Mackerel,Scomberomorus semifasciatus,"(Macleay, 1884)",37 441018,Scombridae (Mackerels),01/01/2002,
Grey Morwong,Nemadactylus douglasii,"(Hector, 1875)",37 377002,Cheilodactylidae (Morwongs),01/01/2002,
Grouper,Epinephelus spp.,,37 311911,Serranidae (Rockcods),22/09/2004,
Grunter Bream,Pomadasys spp.,,37 350902,Haemulidae (Grunter Breams),01/01/2002,
Haddock,Melanogrammus aeglefinus,"(Linnaeus, 1758)",37 226792,Gadidae (Cods),07/10/2002,I
Hairtail,Trichiurus spp.,,37 440901,Trichiuridae (Cutlassfishes),Provisional name,
Hake,Merluccius spp.,,37 227900,Merlucciidae (Hakes),29/04/2002,
Hapuku,Polyprion oxygeneios,"(Forster, 1801)",37 311006,Polyprionidae (Wreckfishes),01/01/2002,
Herring,Clupea harengus,"Linnaeus, 1758",37 085790,Clupeidae (Herrings),01/01/2002,I
Hoki,Macruronus spp.,,37 227901,Macruronidae (Southern Hakes),07/10/2002,
Hussar,Lutjanus adetii,"(Castelnau, 1873)",37 346033,Lutjanidae (Tropical Snappers),07/10/2002,
Imperador,Beryx decadactylus,"Cuvier, 1829",37 258001,Berycidae (Alfonsinos),01/01/2002,
Jack Mackerel,Trachurus declivis & Trachurus murphyi,,37 337912,Carangidae (Trevallies),01/01/2002,
Jewfish,Sciaenidae - undifferentiated,,37 354000,Sciaenidae (Jewfishes),01/01/2002,
John Dory,Zeus faber,"Linnaeus, 1758",37 264004,Zeidae (Dories),01/01/2002,
King Dory,Cyttus traversi,"Hutton, 1872",37 264001,Cyttidae (Lookdown Dories),01/01/2002,
King George Whiting,Sillaginodes punctatus,"(Cuvier, 1829)",37 330001,Sillaginidae (Whitings),01/01/2002,
King Snapper,Pristipomoides spp.,,37 346916,Lutjanidae (Tropical Snappers),07/10/2002,
King Threadfin,Polydactylus macrochir,"(Günther, 1867)",37 383005,Polynemidae (Threadfin Salmons),01/01/2002,
Knifefish,Notopteridae (imported species),,37 091750,Notopteridae (Featherbacks),29/04/2002,I
Knifejaw,Oplegnathus woodwardi,"(Waite, 1900)",37 369002,Oplegnathidae (Knifejaws),08/03/2005,
Latchet,Pterygotrigla polyommata,"(Richardson, 1839)",37 288006,Triglidae (Searobins),01/01/2002,
Leatherjacket,Monacanthidae - undifferentiated,,37 465903,Monacanthidae (Leatherjackets),01/01/2002,
Ling,Genypterus spp.,,37 228901,Ophidiidae (Cusk Eels),16/09/2003,
Longfin Eel,Anguilla reinhardtii,"Steindachner, 1867",37 056002,Anguillidae (Freshwater Eels),01/01/2002,
Longfin Perch,Caprodon longimanus,"(Günther, 1859)",37 311095,Serranidae (Rockcods),01/01/2002,
Longfin Rockcod,Epinephelus quoyanus,"(Valenciennes, 1830)",37 311040,Serranidae (Rockcods),08/03/2005,
Longnose Emperor,Lethrinus olivaceus,"Valenciennes, 1830",37 351004,Lethrinidae (Emperors),01/01/2002,
Longsnout Boarfish,Pentaceropsis recurvirostris,"(Richardson, 1845)",37 367003,Pentacerotidae (Boarfishes),08/03/2005,
Longtail Tuna,Thunnus tonggol,"(Bleeker, 1851)",37 441013,Scombridae (Mackerels),01/01/2002,
Longtom,Belonidae - undifferentiated,,37 235000,Belonidae (Longtoms),01/01/2002,
Luderick,Girella tricuspidata,"(Quoy & Gaimard, 1824)",37 361007,Kyphosidae (Drummers),01/01/2002,
Mackerel,Scombridae spp. (tribes Scomberomorini & Scombrini),,37 441911,Scombridae (Mackerels),01/01/2002,
Mackerel Tuna,Euthynnus affinis,"(Cantor, 1849)",37 441010,Scombridae (Mackerels),01/01/2002,
Mahi Mahi,Coryphaena spp.,,37 338901,Coryphaenidae (Dolphinfishes),01/01/2002,
Mangrove Jack,Lutjanus argentimaculatus,"(Forsskål, 1775)",37 346015,Lutjanidae (Tropical Snappers),07/10/2002,
Maori Rockcod,Epinephelus undulatostriatus,"(Peters, 1866)",37 311086,Serranidae (Rockcods),01/01/2002,
Maori Wrasse,Cheilinus & Oxycheilinus spp.,,37 384903,Labridae (Wrasses),01/01/2002,
Marbled Goby,Oxyeleotris spp.,,37 429900,Eleotridae (Gudgeons),29/04/2002,
Marlin,Istiophoridae - undifferentiated,,37 444000,Istiophoridae (Marlins),01/01/2002,
Milkfish,Chanos chanos,"(Forsskål, 1775)",37 142001,Chanidae (Milkfishes),01/01/2002,
Mirror Dory,Zenopsis nebulosus,"(Temminck & Schlegel, 1845)",37 264003,Zeidae (Dories),01/01/2002,
Moonfish,Lampris guttatus & Lampris immaculatus,,37 268900,Lampridae (Opahs),01/01/2002,
Morwong,Nemadactylus macropterus & Nemadactylus sp.,,37 377901,Cheilodactylidae (Morwongs),01/01/2002,
Moses' Snapper,Lutjanus russellii & Lutjanus sp.,,37 346915,Lutjanidae (Tropical Snappers),07/10/2002,
Mudskipper,Pseudapocryptes spp.,,37 428750,Gobiidae (Gobies),29/04/2002,I
Mullet,Mugilidae - undifferentiated,,37 381000,Mugilidae (Mullets),01/01/2002,
